subtest_id	parent_test_id	covers_row	owner_kind	assertion	exact_boundary	one_over_or_negative	status
T-CQ-07	T-SOURCE-01	C07	ExprId	query every applicable role/ordinal for HirMatchArm; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-07	T-ROLLBACK-01	C07	ExprId	force the row-specific hard allocation/limit failure for HirMatchArm	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-08	T-SOURCE-01	C08	PatternId	query every applicable role/ordinal for HirPatternField::Explicit; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-08	T-ROLLBACK-01	C08	PatternId	force the row-specific hard allocation/limit failure for HirPatternField::Explicit	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-09	T-SOURCE-01	C09	PatternId	query every applicable role/ordinal for HirPatternField::Shorthand; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-09	T-ROLLBACK-01	C09	PatternId	force the row-specific hard allocation/limit failure for HirPatternField::Shorthand	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-10	T-SOURCE-01	C10	PatternId	query every applicable role/ordinal for HirPatternField::Rest; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-10	T-ROLLBACK-01	C10	PatternId	force the row-specific hard allocation/limit failure for HirPatternField::Rest	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-11	T-SOURCE-01	C11	TypeId	query every applicable role/ordinal for HirTypeRegion::Named; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-11	T-ROLLBACK-01	C11	TypeId	force the row-specific hard allocation/limit failure for HirTypeRegion::Named	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-12	T-SOURCE-01	C12	TypeId	query every applicable role/ordinal for HirTypeRegion::Elided; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-12	T-ROLLBACK-01	C12	TypeId	force the row-specific hard allocation/limit failure for HirTypeRegion::Elided	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-13	T-SOURCE-01	C13	matching typed owner	query every applicable role/ordinal for HirPathSegment; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-13	T-ROLLBACK-01	C13	matching typed owner	force the row-specific hard allocation/limit failure for HirPathSegment	matching typed query round-trips every exact path component at all exact limits	one-over aborts whole owner; no prefix segment/source key	DECLARED_NAMED_SUBTEST
T-CQ-14	T-SOURCE-01	C14	ExprId	query every applicable role/ordinal for HirNumericSequenceElement; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-14	T-ROLLBACK-01	C14	ExprId	force the row-specific hard allocation/limit failure for HirNumericSequenceElement	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-15	T-SOURCE-01	C15	ExprId	query every applicable role/ordinal for HirThreadFlowItem; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-15	T-ROLLBACK-01	C15	ExprId	force the row-specific hard allocation/limit failure for HirThreadFlowItem	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-16	T-SOURCE-01	C16	ExprId	query every applicable role/ordinal for HirDialogueNode::Text; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-16	T-ROLLBACK-01	C16	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Text	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-17	T-SOURCE-01	C17	ExprId	query every applicable role/ordinal for HirDialogueNode::Raw; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-17	T-ROLLBACK-01	C17	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Raw	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-18	T-SOURCE-01	C18	ExprId	query every applicable role/ordinal for HirDialogueNode::Escape; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-18	T-ROLLBACK-01	C18	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Escape	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-19	T-SOURCE-01	C19	ExprId	query every applicable role/ordinal for HirDialogueNode::Ruby; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-19	T-ROLLBACK-01	C19	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Ruby	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-20	T-SOURCE-01	C20	ExprId	query every applicable role/ordinal for HirDialogueNode::AuthoredStartTag; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-20	T-ROLLBACK-01	C20	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::AuthoredStartTag	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-21	T-SOURCE-01	C21	ExprId	query every applicable role/ordinal for HirDialogueNode::InferredStartTag; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-21	T-ROLLBACK-01	C21	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::InferredStartTag	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-22	T-SOURCE-01	C22	ExprId	query every applicable role/ordinal for HirDialogueNode::AuthoredEndTag; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-22	T-ROLLBACK-01	C22	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::AuthoredEndTag	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-23	T-SOURCE-01	C23	ExprId	query every applicable role/ordinal for HirDialogueNode::InferredEndTag; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-23	T-ROLLBACK-01	C23	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::InferredEndTag	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-24	T-SOURCE-01	C24	ExprId	query every applicable role/ordinal for HirDialogueNode::Interpolation; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-24	T-ROLLBACK-01	C24	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Interpolation	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-25	T-SOURCE-01	C25	ExprId	query every applicable role/ordinal for HirDialogueNode::Control; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-25	T-ROLLBACK-01	C25	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Control	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-26	T-SOURCE-01	C26	ExprId	query every applicable role/ordinal for HirDialogueNode::Mark; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-26	T-ROLLBACK-01	C26	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Mark	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-27	T-SOURCE-01	C27	ExprId	query every applicable role/ordinal for HirDialogueNode::LineBreak; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-27	T-ROLLBACK-01	C27	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::LineBreak	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-28	T-SOURCE-01	C28	ExprId	query every applicable role/ordinal for HirDialogueNode::Error; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-28	T-ROLLBACK-01	C28	ExprId	force the row-specific hard allocation/limit failure for HirDialogueNode::Error	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-29	T-SOURCE-01	C29	ExprId	query every applicable role/ordinal for HirRichTextTag; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-29	T-ROLLBACK-01	C29	ExprId	force the row-specific hard allocation/limit failure for HirRichTextTag	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-30	T-SOURCE-01	C30	ExprId	query every applicable role/ordinal for HirRichTextArgument::Positional; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-30	T-ROLLBACK-01	C30	ExprId	force the row-specific hard allocation/limit failure for HirRichTextArgument::Positional	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-31	T-SOURCE-01	C31	ExprId	query every applicable role/ordinal for HirRichTextArgument::Named; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-31	T-ROLLBACK-01	C31	ExprId	force the row-specific hard allocation/limit failure for HirRichTextArgument::Named	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-32	T-SOURCE-01	C32	ExprId	query every applicable role/ordinal for HirRichTextArgument::Invalid; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-32	T-ROLLBACK-01	C32	ExprId	force the row-specific hard allocation/limit failure for HirRichTextArgument::Invalid	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-33	T-SOURCE-01	C33	ExprId	query every applicable role/ordinal for HirRichTextTagPayload::FxCall; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-33	T-ROLLBACK-01	C33	ExprId	force the row-specific hard allocation/limit failure for HirRichTextTagPayload::FxCall	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-34	T-SOURCE-01	C34	ExprId	query every applicable role/ordinal for HirRichTextTagPayload::DialogueCall; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-34	T-ROLLBACK-01	C34	ExprId	force the row-specific hard allocation/limit failure for HirRichTextTagPayload::DialogueCall	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
T-CQ-35	T-SOURCE-01	C35	ExprId	query every applicable role/ordinal for HirRichTextTagPayload::Condition; assert clean, poison, optional, insertion, stale and foreign outcomes	all declared ordinals/components round-trip once	inapplicable role/ordinal one-over returns typed error; no vector fallback	DECLARED_NAMED_SUBTEST
T-CRB-35	T-ROLLBACK-01	C35	ExprId	force the row-specific hard allocation/limit failure for HirRichTextTagPayload::Condition	all preflight charges pass; one transaction commits IDs, source rows, scopes, diagnostics and results	preflight/checked allocation fails atomically; no prefix/truncation/replay/leak	DECLARED_NAMED_SUBTEST
