id,layer,path,surface,current_state,final_decision,phase,action,evidence
ASF-INV-00122,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AssignmentTarget { statement: StmtId },synthetic RuntimeExpr has no retained accepted type row,accepted target aggregate/local type from checked assignment resolution; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-003
ASF-INV-00123,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AssignmentValue { statement: StmtId },synthetic RuntimeExpr has no retained accepted type row,accepted selected field/local value type from checked assignment resolution; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-004
ASF-INV-00124,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AssignmentContinuation { statement: StmtId },synthetic RuntimeExpr has no retained accepted type row,accepted continuation/body type from the enclosing checked block/function/flow role; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-005
ASF-INV-00125,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::VariantPayloadTuple { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,exact normalized payload type from the retained normalized variant case table; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-006
ASF-INV-00126,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ReductionCommands { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,exact accepted command-sequence/tuple type from RuntimeReductionConstructor fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-007
ASF-INV-00127,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::RecordShorthandLocal { record: ExprId, field_ordinal: u32, local: LocalId }",synthetic RuntimeExpr has no retained accepted type row,RuntimePlanSemanticFacts::local_type(local); explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-008
ASF-INV-00128,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::NominalRecordShorthandLocal { record: ExprId, field_ordinal: u32, local: LocalId }",synthetic RuntimeExpr has no retained accepted type row,RuntimePlanSemanticFacts::local_type(local) checked against accepted field projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-009
ASF-INV-00129,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::PureBlockLetValue { block: ExprId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted initializer ExprId type; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-010
ASF-INV-00130,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::PureBlockLetBody { block: ExprId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted continuation type from checked block statement chain; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-011
ASF-INV-00131,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::PureBlockAssignmentTarget { block: ExprId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted target type from checked assignment; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-012
ASF-INV-00132,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::PureBlockAssignmentValue { block: ExprId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted value type from checked assignment; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-013
ASF-INV-00133,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::PureBlockAssignmentBody { block: ExprId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted continuation type from checked block statement chain; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-014
ASF-INV-00134,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::FunctionBodyLetValue { function: ItemId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted initializer ExprId type; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-015
ASF-INV-00135,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::FunctionBodyLetBody { function: ItemId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted continuation type from checked function statement chain; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-016
ASF-INV-00136,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::FunctionBodyAssignmentTarget { function: ItemId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted target type from checked assignment; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-017
ASF-INV-00137,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::FunctionBodyAssignmentValue { function: ItemId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted value type from checked assignment; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-018
ASF-INV-00138,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::FunctionBodyAssignmentBody { function: ItemId, statement: StmtId }",synthetic RuntimeExpr has no retained accepted type row,accepted continuation type from checked function statement chain; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-019
ASF-INV-00139,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::FlowAssignmentOuter { statement: StmtId },synthetic RuntimeExpr has no retained accepted type row,accepted Unit statement result from checked flow role; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-020
ASF-INV-00140,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::FlowAssignmentContinuationUnit { statement: StmtId },synthetic RuntimeExpr has no retained accepted type row,accepted Unit semantic identity from checked flow role; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-021
ASF-INV-00141,synthetic expression provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticExprSite::AssertionFailureMessage { statement: StmtId, condition: u32 }",synthetic RuntimeExpr has no retained accepted type row,accepted String type from runtime assertion signature fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-022
ASF-INV-00142,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ChoiceActionRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,exact accepted ChoiceAction nominal/record type from resolved Agent intrinsic signature; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-023
ASF-INV-00143,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ChoiceActionId { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted field type from ChoiceAction projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-024
ASF-INV-00144,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ChoiceActionTarget { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted field type from ChoiceAction projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-025
ASF-INV-00145,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ChoiceActionAction { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted field type from ChoiceAction projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-026
ASF-INV-00146,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ChoiceActionKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted field type from ChoiceAction projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-027
ASF-INV-00147,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::ChoiceActionEnabled { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted field type from ChoiceAction projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-028
ASF-INV-00148,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetViewportRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Viewport intrinsic; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-029
ASF-INV-00149,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetViewportKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-030
ASF-INV-00150,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetLayerRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Layer intrinsic; authored layer argument keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-031
ASF-INV-00151,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetLayerKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-032
ASF-INV-00152,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetObjectRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Object intrinsic; authored object argument keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-033
ASF-INV-00153,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetObjectKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-034
ASF-INV-00154,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentTargetViewportPointRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::ViewportPoint intrinsic; authored x/y children keep their own accepted ExprId facts; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-035
ASF-INV-00155,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeSignalRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Signal intrinsic; authored signal target keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-036
ASF-INV-00156,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeSignalKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-037
ASF-INV-00157,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeMetricRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Metric intrinsic; authored metric target keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-038
ASF-INV-00158,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeMetricKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-039
ASF-INV-00159,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeStateRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::State intrinsic; authored state path keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-040
ASF-INV-00160,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeStateKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-041
ASF-INV-00161,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeObservationRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Observation intrinsic; authored observation path keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-042
ASF-INV-00162,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeObservationKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-043
ASF-INV-00163,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeDiagnosticsRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Diagnostics intrinsic; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-044
ASF-INV-00164,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentProbeDiagnosticsKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-045
ASF-INV-00165,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateExistsRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Exists intrinsic; authored probe keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-046
ASF-INV-00166,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateExistsKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-047
ASF-INV-00167,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateNotRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Not intrinsic; authored predicate keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-048
ASF-INV-00168,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateNotKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-049
ASF-INV-00169,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateActionEnabledRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::ActionEnabled intrinsic; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-050
ASF-INV-00170,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateActionEnabledKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-051
ASF-INV-00171,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateActionEnabledTarget { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted target field type from action argument projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-052
ASF-INV-00172,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateAllRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::All intrinsic; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-053
ASF-INV-00173,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateAllKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-054
ASF-INV-00174,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateAllTuple { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted predicates tuple type from resolved intrinsic variadic signature; every authored predicate keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-055
ASF-INV-00175,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateAnyRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted return type of resolved Agent::Any intrinsic; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-056
ASF-INV-00176,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateAnyKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from intrinsic return projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-057
ASF-INV-00177,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentPredicateAnyTuple { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted predicates tuple type from resolved intrinsic variadic signature; every authored predicate keeps its own accepted ExprId fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-058
ASF-INV-00178,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentComparisonRecord { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted comparison predicate type from checked comparison fact; authored probe/value children keep their own accepted ExprId facts; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-059
ASF-INV-00179,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentComparisonKind { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted kind field type from comparison projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-060
ASF-INV-00180,synthetic expression provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticExprSite::AgentComparisonOperator { call: ExprId },synthetic RuntimeExpr has no retained accepted type row,accepted operator field type from comparison projection; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,SYN-061
ASF-INV-00181,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Binding,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-001
ASF-INV-00182,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::MutableBinding,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-002
ASF-INV-00183,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Literal,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-003
ASF-INV-00184,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::EntityReference,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-004
ASF-INV-00185,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Variant,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-005
ASF-INV-00186,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Discard,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-006
ASF-INV-00187,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Tuple,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-007
ASF-INV-00188,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Record,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-008
ASF-INV-00189,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::BracketSequence,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-009
ASF-INV-00190,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::WholeBinding,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-010
ASF-INV-00191,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::TypedBinding,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-011
ASF-INV-00192,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Or,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-012
ASF-INV-00193,runtime-plan pattern,crates/arcweft-runtime-plan/src/final_pattern.rs,HirPatternKind::Error,raw source-backed pattern,RuntimePlanSemanticFacts::pattern_type(owner); child PatternId uses its own accepted pattern_type; RuntimeNormalizedType::runtime_plan_type_kind,P03/P04,migrate,PSRC-013
ASF-INV-00194,synthetic pattern provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticPatternSite::RecordShorthandBinding { pattern: PatternId, field_ordinal: u32, local: LocalId }",synthetic pattern/binding has no retained accepted type row,RuntimePlanSemanticFacts::local_type(local); explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,PSYN-001
ASF-INV-00195,synthetic pattern provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticPatternSite::RecordRestBinding { pattern: PatternId, local: LocalId }",synthetic pattern/binding has no retained accepted type row,RuntimePlanSemanticFacts::local_type(local); explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,PSYN-002
ASF-INV-00196,synthetic pattern provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticPatternSite::SequenceRestBinding { pattern: PatternId, local: LocalId }",synthetic pattern/binding has no retained accepted type row,RuntimePlanSemanticFacts::local_type(local); explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,PSYN-003
ASF-INV-00197,synthetic pattern provenance,HIR + compiler + runtime-plan,"HirRuntimeSyntheticPatternSite::WholeBinding { pattern: PatternId, local: LocalId }",synthetic pattern/binding has no retained accepted type row,RuntimePlanSemanticFacts::local_type(local); explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,PSYN-004
ASF-INV-00198,synthetic pattern provenance,HIR + compiler + runtime-plan,HirRuntimeSyntheticPatternSite::FlowAssignmentDiscard { statement: StmtId },synthetic pattern/binding has no retained accepted type row,accepted target pattern/Unit flow role fact; explicit RuntimeNormalizedType row in RuntimePlanSemanticFacts,P02-P04,add/migrate,PSYN-005
ASF-INV-00199,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Never,current landed mapping,Checked(Never),retain,retain,leaf
ASF-INV-00200,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Unit,current landed mapping,Checked(Unit),retain,retain,leaf
ASF-INV-00201,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Bool,current landed mapping,Checked(Bool),retain,retain,leaf
ASF-INV-00202,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Signed(width),current landed mapping,Checked(Signed(width)),retain,retain,leaf
ASF-INV-00203,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Unsigned(width),current landed mapping,Checked(Unsigned(width)),retain,retain,leaf
ASF-INV-00204,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,F32,current landed mapping,Checked(F32),retain,retain,leaf
ASF-INV-00205,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,F64,current landed mapping,Checked(F64),retain,retain,leaf
ASF-INV-00206,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,String,current landed mapping,Checked(String),retain,retain,leaf
ASF-INV-00207,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Char,current landed mapping,Checked(Char),retain,retain,leaf
ASF-INV-00208,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Bytes,current landed mapping,Checked(Bytes),retain,retain,leaf
ASF-INV-00209,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Duration,current landed mapping,Checked(Duration),retain,retain,leaf
ASF-INV-00210,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,EntityReference,current landed mapping,Checked(EntityReference),retain,retain,leaf
ASF-INV-00211,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Sequence(item),current landed mapping,Checked(Sequence(item)) iff item checked; else Operational(Sequence),retain,retain,recursive
ASF-INV-00212,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,"Array(item,len)",current landed mapping,"Checked(Array(item,len)) iff item checked; else Operational(Sequence)",retain,retain,recursive
ASF-INV-00213,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,ProjectNominal,current landed mapping,Checked(Nominal) or structured InvalidProjectNominal,retain,retain,exact nominal
ASF-INV-00214,type projection,crates/arcweft-runtime-plan/src/semantic_facts.rs,Choice(items),current landed mapping,Checked(Choice) iff all descendants checked; else Operational(Choice),retain,retain,recursive
