ordinal	id	logic	benchmark	expected	oxiz_recorded	source_path	awft_path	expected_smt_path	expected_smt_sha256
84	qf_a.array_04	qf_a	array_04.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_04.smt2	awft/qf_a/array_04.awft	expected_smt2/qf_a/array_04.smt2	64f830997e6608b72cb6e5be5b54aa3f1b35fe117faa6098dfab82580db13d2e
85	qf_a.array_05	qf_a	array_05.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_05.smt2	awft/qf_a/array_05.awft	expected_smt2/qf_a/array_05.smt2	074ef01372c249fadce01ff66a6f76271d7cbe55520e301620048dbd811d9ecd
86	qf_a.array_06	qf_a	array_06.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_a/array_06.smt2	awft/qf_a/array_06.awft	expected_smt2/qf_a/array_06.smt2	7c6d0fd0bac7abbcc7ac9627fe92def9f13e6e41cef3d595c9aeb983f0f0a193
87	qf_a.array_07	qf_a	array_07.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_07.smt2	awft/qf_a/array_07.awft	expected_smt2/qf_a/array_07.smt2	682c989033ef18c8817651f4d3df35f13463bc7aaba2f6fecefeef41d4bf48b9
88	qf_a.array_08	qf_a	array_08.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_a/array_08.smt2	awft/qf_a/array_08.awft	expected_smt2/qf_a/array_08.smt2	570b00b09f2fd0e775d82a262c6a18a90d18c0abd1314145b35f093bc0ff641e
89	qf_a.array_09	qf_a	array_09.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_09.smt2	awft/qf_a/array_09.awft	expected_smt2/qf_a/array_09.smt2	1572dddeebc5868f68c4af3c4bcf156231c8ea5c0e71a420bebfa560013399dc
90	qf_a.array_10	qf_a	array_10.smt2	sat	sat	bench/z3_parity/benchmarks/qf_a/array_10.smt2	awft/qf_a/array_10.awft	expected_smt2/qf_a/array_10.smt2	d7b2ec91060dafae85a3669f9a95e46350c3e78d559a82f5585337675ca6b6ad
91	qf_bv.bv_01	qf_bv	bv_01.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_01.smt2	awft/qf_bv/bv_01.awft	expected_smt2/qf_bv/bv_01.smt2	476bdeffd8ca7392b23b5a9d3858fdb05876f66e2c59aef05bd93cccfae9121c
92	qf_bv.bv_02	qf_bv	bv_02.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_bv/bv_02.smt2	awft/qf_bv/bv_02.awft	expected_smt2/qf_bv/bv_02.smt2	65d4b1db4e0bf7a4e885d51d143b92b417a0efecef3bc4349ce33b3635a7e8ab
93	qf_bv.bv_03	qf_bv	bv_03.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_03.smt2	awft/qf_bv/bv_03.awft	expected_smt2/qf_bv/bv_03.smt2	81d9007edad02a26662663759d20cbb9b3391a6f3b6e7f9f62ce79486b529f00
94	qf_bv.bv_04	qf_bv	bv_04.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_04.smt2	awft/qf_bv/bv_04.awft	expected_smt2/qf_bv/bv_04.smt2	613efe91c28c8f6dadf7a771c12b1b88f20767bd3ca2b000b30b3cf27b9ce823
95	qf_bv.bv_05	qf_bv	bv_05.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_05.smt2	awft/qf_bv/bv_05.awft	expected_smt2/qf_bv/bv_05.smt2	c51de74ab2a9ee5b038a77d83ff35047e8a5b0a91ffd25d6d2658bf3d2a3e1cd
96	qf_bv.bv_06	qf_bv	bv_06.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_bv/bv_06.smt2	awft/qf_bv/bv_06.awft	expected_smt2/qf_bv/bv_06.smt2	cbbba8502a04ff5afaca29f64a0777dd097719667aa1cd3ad54b6d35309e7b6b
97	qf_bv.bv_07	qf_bv	bv_07.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_07.smt2	awft/qf_bv/bv_07.awft	expected_smt2/qf_bv/bv_07.smt2	ec27e8faa7d3f9b6861885cc212cd8eee5ecd83cbba42fc79347fbf0a99395d0
98	qf_bv.bv_08	qf_bv	bv_08.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_08.smt2	awft/qf_bv/bv_08.awft	expected_smt2/qf_bv/bv_08.smt2	e6b8c4b5cc2005c6a4f0d2f45454858149eebd16ebf6269a0b74a1cf1fbf7fb8
99	qf_bv.bv_09	qf_bv	bv_09.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_09.smt2	awft/qf_bv/bv_09.awft	expected_smt2/qf_bv/bv_09.smt2	82998b66bf8d448f8e502fabcd4bb0ed5a526289d777440ae5cdde3f50cd8016
100	qf_bv.bv_10	qf_bv	bv_10.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_10.smt2	awft/qf_bv/bv_10.awft	expected_smt2/qf_bv/bv_10.smt2	f8342a106210568fb222c4298e08f1e8f6cf6d83c5359cb9cd086e78c136c60c
101	qf_bv.bv_11	qf_bv	bv_11.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_bv/bv_11.smt2	awft/qf_bv/bv_11.awft	expected_smt2/qf_bv/bv_11.smt2	a3241b4341572488dad6f03fc26a8335fa0a600d39d338cacbd627a4b93ee3f9
102	qf_bv.bv_12	qf_bv	bv_12.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_bv/bv_12.smt2	awft/qf_bv/bv_12.awft	expected_smt2/qf_bv/bv_12.smt2	ac3dbcdca3c41f6a94ce3851da3d1caf3c057f7c1bc68aca2d90cbff20424049
103	qf_bv.bv_13	qf_bv	bv_13.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_13.smt2	awft/qf_bv/bv_13.awft	expected_smt2/qf_bv/bv_13.smt2	392c24a42462a8f1de758dc612e2459ea318047333bff677a85d751c90f5cfad
104	qf_bv.bv_14	qf_bv	bv_14.smt2	sat	sat	bench/z3_parity/benchmarks/qf_bv/bv_14.smt2	awft/qf_bv/bv_14.awft	expected_smt2/qf_bv/bv_14.smt2	9be61332654109853d314e3cce6d7b05aa6a9cd2d4683d3b2ca0e6ccbd657c86
105	qf_bv.bv_15	qf_bv	bv_15.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_bv/bv_15.smt2	awft/qf_bv/bv_15.awft	expected_smt2/qf_bv/bv_15.smt2	a3dc442e67938a46e5068c1532f3a1e0fdd37259fa1a89ed7116dddaf3f496e4
106	qf_dt.dt_01	qf_dt	dt_01.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_01.smt2	awft/qf_dt/dt_01.awft	expected_smt2/qf_dt/dt_01.smt2	30751b6deeff1b3feb4b7975f598e7038c5a12f2c27a511f619834381fea1c7b
107	qf_dt.dt_02	qf_dt	dt_02.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_02.smt2	awft/qf_dt/dt_02.awft	expected_smt2/qf_dt/dt_02.smt2	a542853f5ec18b0938b813ea8ea3e79413159ad1d70beb1898d09a0c1b24c27c
108	qf_dt.dt_03	qf_dt	dt_03.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_dt/dt_03.smt2	awft/qf_dt/dt_03.awft	expected_smt2/qf_dt/dt_03.smt2	f319d3f43aaf027b4f1bf490552a40665222ce033118eb165fddf767e6853f09
109	qf_dt.dt_04	qf_dt	dt_04.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_04.smt2	awft/qf_dt/dt_04.awft	expected_smt2/qf_dt/dt_04.smt2	018a887e06d43bf73b91a8fc3c773e10212dc6ef9079331080bd42430bbba903
110	qf_dt.dt_05	qf_dt	dt_05.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_05.smt2	awft/qf_dt/dt_05.awft	expected_smt2/qf_dt/dt_05.smt2	c82a04e501c63f75440241a0eaec293ff424004eb51e82506728df8d9f621955
111	qf_dt.dt_06	qf_dt	dt_06.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_dt/dt_06.smt2	awft/qf_dt/dt_06.awft	expected_smt2/qf_dt/dt_06.smt2	23cb5c9103f5f1ac85f8b92747a8e161e61af6026eb015adf42d4c1c074852e2
112	qf_dt.dt_07	qf_dt	dt_07.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_07.smt2	awft/qf_dt/dt_07.awft	expected_smt2/qf_dt/dt_07.smt2	14effe6360c7ccd6fab83b16694cac82a006ec0ce44b1bb2688368c7b4b3337f
113	qf_dt.dt_08	qf_dt	dt_08.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_dt/dt_08.smt2	awft/qf_dt/dt_08.awft	expected_smt2/qf_dt/dt_08.smt2	3349f671367014f4173d443239f834ba0b7816c82fa6082189e1b165225d4f9d
114	qf_dt.dt_09	qf_dt	dt_09.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_09.smt2	awft/qf_dt/dt_09.awft	expected_smt2/qf_dt/dt_09.smt2	b2407030c5aa4f03daa3963da592844d06fc7198488bf5e7faed53ea5cce854a
115	qf_dt.dt_10	qf_dt	dt_10.smt2	sat	sat	bench/z3_parity/benchmarks/qf_dt/dt_10.smt2	awft/qf_dt/dt_10.awft	expected_smt2/qf_dt/dt_10.smt2	cf1816b59c8174a7ee00ee44766cb4a26ac8c63252a69f1abad245d01d4cddfb
116	qf_fp.fp_01	qf_fp	fp_01.smt2	sat	sat	bench/z3_parity/benchmarks/qf_fp/fp_01.smt2	awft/qf_fp/fp_01.awft	expected_smt2/qf_fp/fp_01.smt2	812449e0e85bebcb28085bab8764e843397ae7929931d203de088f23c1bc8690
117	qf_fp.fp_02	qf_fp	fp_02.smt2	sat	sat	bench/z3_parity/benchmarks/qf_fp/fp_02.smt2	awft/qf_fp/fp_02.awft	expected_smt2/qf_fp/fp_02.smt2	523390071e483bc40af60260118339c1a6ed26de963fd7a41af08aa74bbff658
118	qf_fp.fp_03	qf_fp	fp_03.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_fp/fp_03.smt2	awft/qf_fp/fp_03.awft	expected_smt2/qf_fp/fp_03.smt2	ce773e4895c960daf6c67c0d53b198b34b35abd5d6c0a3e24b4eb404a01c3e9a
119	qf_fp.fp_04	qf_fp	fp_04.smt2	sat	sat	bench/z3_parity/benchmarks/qf_fp/fp_04.smt2	awft/qf_fp/fp_04.awft	expected_smt2/qf_fp/fp_04.smt2	84a81b43c453d9f65519b5ac551edea0728e4e0b89dd0111298480988557b7e9
120	qf_fp.fp_05	qf_fp	fp_05.smt2	sat	sat	bench/z3_parity/benchmarks/qf_fp/fp_05.smt2	awft/qf_fp/fp_05.awft	expected_smt2/qf_fp/fp_05.smt2	43523b24e19dd5e9759e82c572d9a6b48899cc7e05eb7349b2332d45f1879f62
121	qf_fp.fp_06	qf_fp	fp_06.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_fp/fp_06.smt2	awft/qf_fp/fp_06.awft	expected_smt2/qf_fp/fp_06.smt2	5754cdab9a24a3dc62f0f632600aa2d3d6ad21d05e2832a524084c8990bd8dde
122	qf_fp.fp_07	qf_fp	fp_07.smt2	sat	sat	bench/z3_parity/benchmarks/qf_fp/fp_07.smt2	awft/qf_fp/fp_07.awft	expected_smt2/qf_fp/fp_07.smt2	25fc920b0cc27ba8ce17301300ba3d5cdb08712d93be44b8a4a7999ef414c761
123	qf_fp.fp_08	qf_fp	fp_08.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_fp/fp_08.smt2	awft/qf_fp/fp_08.awft	expected_smt2/qf_fp/fp_08.smt2	c3911c400d594f0656ee269b63dcf7aad0728098c5f5186bc8ea9a2fb47c7984
124	qf_fp.fp_09	qf_fp	fp_09.smt2	sat	sat	bench/z3_parity/benchmarks/qf_fp/fp_09.smt2	awft/qf_fp/fp_09.awft	expected_smt2/qf_fp/fp_09.smt2	3fae66bb1958fd8ff19557640d7e12972c73ba161b239515800233af7d662d00
125	qf_fp.fp_10	qf_fp	fp_10.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_fp/fp_10.smt2	awft/qf_fp/fp_10.awft	expected_smt2/qf_fp/fp_10.smt2	afd35d758fbfc40e217e504390b51d338241e7cf709ebf5afaecfa8953426a9e
126	qf_lia.lia_01_range	qf_lia	lia_01_range.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_01_range.smt2	awft/qf_lia/lia_01_range.awft	expected_smt2/qf_lia/lia_01_range.smt2	dbb23b0fdfbf1b4117ce389edb31ad95d3a943828937b821c9d7c5c579663389
127	qf_lia.lia_02_linear_eq	qf_lia	lia_02_linear_eq.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_02_linear_eq.smt2	awft/qf_lia/lia_02_linear_eq.awft	expected_smt2/qf_lia/lia_02_linear_eq.smt2	1911e2fac2ce23eb9f2b4045f020a9c562e30a5306ec90c366c3772b96327322
128	qf_lia.lia_03_linear_ineq	qf_lia	lia_03_linear_ineq.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_03_linear_ineq.smt2	awft/qf_lia/lia_03_linear_ineq.awft	expected_smt2/qf_lia/lia_03_linear_ineq.smt2	f36866e5af66eaaf5609760f5142f7a143a75d8d3e1b1bb2db372d813b12dfaf
129	qf_lia.lia_04_unsat_simple	qf_lia	lia_04_unsat_simple.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_lia/lia_04_unsat_simple.smt2	awft/qf_lia/lia_04_unsat_simple.awft	expected_smt2/qf_lia/lia_04_unsat_simple.smt2	b4418e40fe40a1a3fd6cd308ae3ffb04bae9da2a09bc646559e5151e08ea4d83
130	qf_lia.lia_05_branch_bound	qf_lia	lia_05_branch_bound.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_05_branch_bound.smt2	awft/qf_lia/lia_05_branch_bound.awft	expected_smt2/qf_lia/lia_05_branch_bound.smt2	f11a14504f5a28bca59e131df7a833d2c1ec0d70078b654ea1e313c34af937cf
131	qf_lia.lia_06_cutting_planes	qf_lia	lia_06_cutting_planes.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_lia/lia_06_cutting_planes.smt2	awft/qf_lia/lia_06_cutting_planes.awft	expected_smt2/qf_lia/lia_06_cutting_planes.smt2	e386bc6f3306c7c229718470e0bcbb8bd61329f1d949fc5dbf137c4178ffd990
132	qf_lia.lia_07_mixed_eq_ineq	qf_lia	lia_07_mixed_eq_ineq.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_07_mixed_eq_ineq.smt2	awft/qf_lia/lia_07_mixed_eq_ineq.awft	expected_smt2/qf_lia/lia_07_mixed_eq_ineq.smt2	835e9dba01c9d9c66a818f12f151dd8b0760d56032e4a6d86a69351f318d0acf
133	qf_lia.lia_08_negative_coeffs	qf_lia	lia_08_negative_coeffs.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_08_negative_coeffs.smt2	awft/qf_lia/lia_08_negative_coeffs.awft	expected_smt2/qf_lia/lia_08_negative_coeffs.smt2	77582f9b9f7fe82907b776d3deb96c19d4581e734c347c6d7e6b9719e645166e
134	qf_lia.lia_09_large_coeffs	qf_lia	lia_09_large_coeffs.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_09_large_coeffs.smt2	awft/qf_lia/lia_09_large_coeffs.awft	expected_smt2/qf_lia/lia_09_large_coeffs.smt2	e51af226507595972d916b247ffa2150e3d07e9f29b67afa9769ab0ebe2c6c5b
135	qf_lia.lia_10_strict_ineq	qf_lia	lia_10_strict_ineq.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_10_strict_ineq.smt2	awft/qf_lia/lia_10_strict_ineq.awft	expected_smt2/qf_lia/lia_10_strict_ineq.smt2	1fde7c571a7e812a899b6000a9b0a906229393a9d75ff73668120fab5fdc06f9
136	qf_lia.lia_11_unsat_bounds	qf_lia	lia_11_unsat_bounds.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_lia/lia_11_unsat_bounds.smt2	awft/qf_lia/lia_11_unsat_bounds.awft	expected_smt2/qf_lia/lia_11_unsat_bounds.smt2	f5f7772d995f0b9628727ea6c5a52550adc7a5270ecb6a08c713f6a5a99d3749
137	qf_lia.lia_12_many_vars	qf_lia	lia_12_many_vars.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_12_many_vars.smt2	awft/qf_lia/lia_12_many_vars.awft	expected_smt2/qf_lia/lia_12_many_vars.smt2	812df0a4ad0d51d7652fee2e53f5b28772721a94ac36f347486afb5d4144f3fc
138	qf_lia.lia_13_divisibility	qf_lia	lia_13_divisibility.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_13_divisibility.smt2	awft/qf_lia/lia_13_divisibility.awft	expected_smt2/qf_lia/lia_13_divisibility.smt2	0601f607da8e11feb2aa11206b8c637777c93d60275cef851aabce16b0a039ce
139	qf_lia.lia_14_sparse	qf_lia	lia_14_sparse.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_14_sparse.smt2	awft/qf_lia/lia_14_sparse.awft	expected_smt2/qf_lia/lia_14_sparse.smt2	81824a8ebafd2a589ea34dc85b5aaef7eff1bde4837f5c58bab43f90e4a9ea13
140	qf_lia.lia_15_dense	qf_lia	lia_15_dense.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_15_dense.smt2	awft/qf_lia/lia_15_dense.awft	expected_smt2/qf_lia/lia_15_dense.smt2	08078311bb2c4206e0f4a584ac506f616a3a263e3a2894a49f1f9a1f8c837410
141	qf_lia.lia_16_edge_zero	qf_lia	lia_16_edge_zero.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lia/lia_16_edge_zero.smt2	awft/qf_lia/lia_16_edge_zero.awft	expected_smt2/qf_lia/lia_16_edge_zero.smt2	292151ebaf3187183a629e0cf4f003ab6bef29bc7082fd6826590cd17f0dcae0
142	qf_lra.lra_01_simple	qf_lra	lra_01_simple.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_01_simple.smt2	awft/qf_lra/lra_01_simple.awft	expected_smt2/qf_lra/lra_01_simple.smt2	fc6506058c8a7e0495fb6210b8c94979badfaacd4f5e024b14121482954318e5
143	qf_lra.lra_02_simplex	qf_lra	lra_02_simplex.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_02_simplex.smt2	awft/qf_lra/lra_02_simplex.awft	expected_smt2/qf_lra/lra_02_simplex.smt2	78f3577d4d135294c9311bb28175c2e38186e35d5d42127c7b36710cb6bbeb5f
144	qf_lra.lra_03_rational	qf_lra	lra_03_rational.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_03_rational.smt2	awft/qf_lra/lra_03_rational.awft	expected_smt2/qf_lra/lra_03_rational.smt2	eafcf0c0d9fcaa6f46623e270bb05638caae1f7a1e73f1593c64b4c2d295ec30
145	qf_lra.lra_04_strict_ineq	qf_lra	lra_04_strict_ineq.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_04_strict_ineq.smt2	awft/qf_lra/lra_04_strict_ineq.awft	expected_smt2/qf_lra/lra_04_strict_ineq.smt2	63a6c209e237bec4928494a9a2b537c9a053d145e58e1b1df4a0f067cecab6a7
146	qf_lra.lra_05_unsat_simple	qf_lra	lra_05_unsat_simple.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_lra/lra_05_unsat_simple.smt2	awft/qf_lra/lra_05_unsat_simple.awft	expected_smt2/qf_lra/lra_05_unsat_simple.smt2	78af3096fe41ce757f5f243833d11c0be22f78af657d396aeb78d3dda10633b0
147	qf_lra.lra_06_dense	qf_lra	lra_06_dense.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_06_dense.smt2	awft/qf_lra/lra_06_dense.awft	expected_smt2/qf_lra/lra_06_dense.smt2	e0aec5bf5fa313151a8a709fb27b2f6897e6318d46bd7745ee7923b569169959
148	qf_lra.lra_07_sparse	qf_lra	lra_07_sparse.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_07_sparse.smt2	awft/qf_lra/lra_07_sparse.awft	expected_smt2/qf_lra/lra_07_sparse.smt2	214105f35dcb00ef07e2561405af0530c3be49185ad309ddb2d94aea1a5d1666
149	qf_lra.lra_08_negative	qf_lra	lra_08_negative.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_08_negative.smt2	awft/qf_lra/lra_08_negative.awft	expected_smt2/qf_lra/lra_08_negative.smt2	2c7bcde34c4e4a207316b982fb6d2ce526fede59ea3a2cb877fcbf0d43670876
150	qf_lra.lra_09_tight_bounds	qf_lra	lra_09_tight_bounds.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_09_tight_bounds.smt2	awft/qf_lra/lra_09_tight_bounds.awft	expected_smt2/qf_lra/lra_09_tight_bounds.smt2	e9c4eae90f0f3771f570c73a92aa031feae7c871a17fe37a028a5bd07cb4d9c5
151	qf_lra.lra_10_infeasible	qf_lra	lra_10_infeasible.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_lra/lra_10_infeasible.smt2	awft/qf_lra/lra_10_infeasible.awft	expected_smt2/qf_lra/lra_10_infeasible.smt2	a27f7daf3da2b8a6eaa7d9fb7cb82153418fc65acddb3f69a6aa3015cebfef66
152	qf_lra.lra_11_many_vars	qf_lra	lra_11_many_vars.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_11_many_vars.smt2	awft/qf_lra/lra_11_many_vars.awft	expected_smt2/qf_lra/lra_11_many_vars.smt2	4bfd92b2a6f29e2e04337c0b30cd5cab6295a17ddd25dd186444b29a6b6255ef
153	qf_lra.lra_12_small_coeffs	qf_lra	lra_12_small_coeffs.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_12_small_coeffs.smt2	awft/qf_lra/lra_12_small_coeffs.awft	expected_smt2/qf_lra/lra_12_small_coeffs.smt2	a4665ba240ff093bba744293855464b6092036be9e077c8949061bcdeb2e3e19
154	qf_lra.lra_13_large_coeffs	qf_lra	lra_13_large_coeffs.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_13_large_coeffs.smt2	awft/qf_lra/lra_13_large_coeffs.awft	expected_smt2/qf_lra/lra_13_large_coeffs.smt2	7e3b110a93295897608c803376e4f6410ad11b0d03be40564efa818444444847
155	qf_lra.lra_14_edge_zero	qf_lra	lra_14_edge_zero.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_14_edge_zero.smt2	awft/qf_lra/lra_14_edge_zero.awft	expected_smt2/qf_lra/lra_14_edge_zero.smt2	81f2e04ec46ce3d065820841072da5d3b8e51724ed3c458349c5258f71dd4a88
156	qf_lra.lra_15_strict_boundary	qf_lra	lra_15_strict_boundary.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_15_strict_boundary.smt2	awft/qf_lra/lra_15_strict_boundary.awft	expected_smt2/qf_lra/lra_15_strict_boundary.smt2	aeb9623eef166d25788b5c61c690c503abdf0fa83fdb57fa8ce7b1b2e970d11e
157	qf_lra.lra_16_mixed_strict	qf_lra	lra_16_mixed_strict.smt2	sat	sat	bench/z3_parity/benchmarks/qf_lra/lra_16_mixed_strict.smt2	awft/qf_lra/lra_16_mixed_strict.awft	expected_smt2/qf_lra/lra_16_mixed_strict.smt2	f737a883dc2fdea61305d391d9cea9efe834cb0562d5154256c5b7006be077cc
158	qf_nia.nia_01_simple_mult	qf_nia	nia_01_simple_mult.smt2	sat	sat	bench/z3_parity/benchmarks/qf_nia/nia_01_simple_mult.smt2	awft/qf_nia/nia_01_simple_mult.awft	expected_smt2/qf_nia/nia_01_simple_mult.smt2	eafedf2f2f4a53b3f0c57190abc8f56d0aeeb1892c6206322618d150d0427042
159	qf_s.string_01	qf_s	string_01.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_01.smt2	awft/qf_s/string_01.awft	expected_smt2/qf_s/string_01.smt2	889ee89c71a9abce5097647ccee406d6f21f2a13209aaae2d1038f4062e57663
160	qf_s.string_02	qf_s	string_02.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_s/string_02.smt2	awft/qf_s/string_02.awft	expected_smt2/qf_s/string_02.smt2	0dbe92769c6d615c318933e6c868f2c2d69cc38bd799e6fcbb9718f3707932c7
161	qf_s.string_03	qf_s	string_03.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_03.smt2	awft/qf_s/string_03.awft	expected_smt2/qf_s/string_03.smt2	5619e057fe59b2cf3ae503c50ceee136f67a86eabca4bd81a09b70c47a16830e
162	qf_s.string_04	qf_s	string_04.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_s/string_04.smt2	awft/qf_s/string_04.awft	expected_smt2/qf_s/string_04.smt2	02faf41b47df2a958a6e8e30b554d5bdf167b315622ca8577530da7461ad0362
163	qf_s.string_05	qf_s	string_05.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_05.smt2	awft/qf_s/string_05.awft	expected_smt2/qf_s/string_05.smt2	d9e012eb0b07dad7ab5604e4640c8a2903cc9aee1c85829b140bf66318f6dc4e
164	qf_s.string_06	qf_s	string_06.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_06.smt2	awft/qf_s/string_06.awft	expected_smt2/qf_s/string_06.smt2	3aa7382cde959073d75a304eef202799f23fe371d6f1cba9ff6fa9408146576f
165	qf_s.string_07	qf_s	string_07.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_07.smt2	awft/qf_s/string_07.awft	expected_smt2/qf_s/string_07.smt2	fc52c11238ebcd3194ea4e00cbfa79e4cd1f84f7b9ab1cc38b3f1c8d09ad78c6
166	qf_s.string_08	qf_s	string_08.smt2	unsat	unsat	bench/z3_parity/benchmarks/qf_s/string_08.smt2	awft/qf_s/string_08.awft	expected_smt2/qf_s/string_08.smt2	937d50a0a90db3792ae9b40ab99281deee1c28c0399fda9c6e91062bf739807f
167	qf_s.string_09	qf_s	string_09.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_09.smt2	awft/qf_s/string_09.awft	expected_smt2/qf_s/string_09.smt2	ebd3ffe3987e9f7ea6b681161b0f2ba59d3d8057e52a8d21eeeb91b4f9bce248
168	qf_s.string_10	qf_s	string_10.smt2	sat	sat	bench/z3_parity/benchmarks/qf_s/string_10.smt2	awft/qf_s/string_10.awft	expected_smt2/qf_s/string_10.smt2	69c28c9dc25d69bd57d7cb01a2f4aeacd3b5feafe25b56b4b22be85f1dfd84ec
